system_id,replica,g_protein_family,g_protein_family_label,harmonized_observations,tm_core_rmsd_A_p95,galpha_interface_rmsd_A_p95,contact_retention_p05
Gi_7SQO,3,Gi,Gi/o,1001,1.8174032388187145,7.410503857286517,0.5833333333333334
Gi_7T10,1,Gi,Gi/o,1001,2.3646371063610685,6.615923523513197,0.8297872340425532
Gi_7T10,2,Gi,Gi/o,1001,2.0458011731590724,5.555815631357833,0.9772727272727272
Gi_7T10,3,Gi,Gi/o,1001,2.0924495454085483,7.676293644323042,0.95
Gi_7T96,1,Gi,Gi/o,1001,2.70251772415297,16.826668986836818,0.9479166666666666
Gi_7T96,2,Gi,Gi/o,1001,2.4343876988875484,12.059735727950342,0.9787234042553192
Gi_7T96,3,Gi,Gi/o,1001,2.304876955120643,7.88478077542803,0.8686868686868687
Gi_7TS0,1,Gi,Gi/o,1001,1.638883439087992,3.584382072211247,0.9411764705882352
Gi_7TS0,2,Gi,Gi/o,1001,2.0555549481365607,3.86682796807203,1.0
Gi_7TS0,3,Gi,Gi/o,1001,1.9046363109614688,3.948490823811817,1.0
Gi_7TUZ,1,Gi,Gi/o,1001,2.1118645772017928,4.274195569466945,0.9736842105263158
Gi_7TUZ,2,Gi,Gi/o,1001,2.654331219554708,6.012404205751095,0.84375
Gi_7TUZ,3,Gi,Gi/o,1001,2.85124621571211,4.156636144849378,0.951219512195122
Gi_7VDL,1,Gi,Gi/o,1001,1.785666550348219,4.692134517225997,0.8947368421052632
Gi_7VDL,2,Gi,Gi/o,1001,1.785666550348219,4.692134517225997,0.8947368421052632
Gi_7VDL,3,Gi,Gi/o,1001,2.104099563747592,5.450243388720351,0.8918918918918919
Gi_7VGZ,1,Gi,Gi/o,1001,1.9298778743051124,3.5595899552825414,1.0
Gi_7VGZ,2,Gi,Gi/o,1001,2.26465456285177,5.532845296149396,1.0
Gi_7VGZ,3,Gi,Gi/o,1001,2.21505308811974,4.577789530326596,0.8461538461538461
Gi_7VH0,1,Gi,Gi/o,1001,2.7069676985064146,5.064158401210709,0.96875
Gi_7VH0,2,Gi,Gi/o,1001,3.148869988373831,4.903391400164362,0.9692307692307692
Gi_7VH0,3,Gi,Gi/o,1001,2.592974206172217,6.249395762147583,0.9649122807017544
Gi_7VIF,1,Gi,Gi/o,1001,2.064910411786488,9.574341463450786,0.8333333333333334
Gi_7VIF,2,Gi,Gi/o,1001,1.6582660699870553,4.5709625992498815,0.9130434782608696
Gi_7VIF,3,Gi,Gi/o,1001,1.92529962088812,3.366112383409966,0.9607843137254902
Gi_7VKT,1,Gi,Gi/o,1001,2.2091871492693573,4.820626143657786,0.7894736842105263
Gi_7VKT,2,Gi,Gi/o,1001,1.8538218231519756,3.307946835133987,0.9705882352941176
Gi_7VKT,3,Gi,Gi/o,1001,2.9076408549826613,6.560305643477786,0.6511627906976745
Gi_7VL9,1,Gi,Gi/o,1001,2.089134643390141,5.286828322654621,0.9565217391304348
